date,totalPlus1d,shanghai-in,wuhan-out,wuhan-shanghai,Wuhan,Hubei-shanghai,Hubei,wenzhou-shanghai,wenzhou,guangzhou-shanghai,guangzhou,shenzhen-shanghai,shenzhen,beijing-shanghai,beijing,Suzhou-shanghai,Suzhou,Fuyang-shanghai,Fuyang
1月20日,7,5.3,8.31,0.46,224,1.3,270,1.18,0,0.26,0,1.48,7,0.91,5,8.2,0,2.58,0
1月21日,9,5.23,10.74,0.33,258,1.13,375,1.83,1,0.24,2,1.73,14,0.7,10,6.48,0,2.34,0
1月22日,16,4.31,11.84,0.28,320,1.14,444,1.88,2,0.28,5,1.7,15,0.6,14,5.41,1,2.09,0
1月23日,33,3.73,11.1,0.31,495,1.36,549,1.76,6,0.3,7,1.6,15,0.54,26,4.84,2,2.34,1
1月24日,40,2.87,3.89,0.53,572,2,729,1.46,10,0.35,14,1.67,20,0.52,36,4.9,3,1.85,5
1月25日,53,1.95,1.13,0.49,618,2.71,1052,1.73,18,0.46,17,1.05,26,0.54,51,7.15,7,1.19,10
1月26日,66,3.63,0.66,0.51,696,3.23,1423,4.76,32,0.79,26,0.54,36,0.8,68,15.4,8,2.3,10
1月27日,80,5.22,0.43,0.54,892,2.95,2714,7.34,60,1.14,51,0.32,49,1.24,80,21.75,12,5.72,21
1月28日,101,5.86,0.32,0.49,1590,2.3,3554,9.36,114,1.17,63,0.28,63,1.38,91,24.93,20,9.13,23
1月29日,128,5.27,0.26,0.19,1905,1.83,4586,9.12,172,1.11,79,0.23,86,1.59,111,27.45,24,11.01,28
1月30日,153,5.11,0.24,0.09,2639,1.4,5806,10.84,227,0.74,106,0.2,110,1.66,132,28.04,32,12.86,38
1月31日,177,4.89,0.24,0.15,3215,1.19,7153,10.76,241,0.68,137,0.2,170,1.65,156,29.58,34,14.81,47
2月1日,193,4.14,0.24,0.2,4109,1.16,9074,11.58,265,0.7,175,0.25,196,1.47,183,30.88,38,13.63,59
2月2日,208,4.97,0.46,0.11,5142,1.75,11177,13.03,291,0.68,189,0.25,226,1.55,212,31.26,44,13.8,65
2月3日,233,4.57,0.21,0.07,6384,1.48,13522,15.05,340,0.58,216,0.27,269,1.93,228,35.38,52,16.63,79
2月4日,254,3.22,0.23,0.12,8351,1.37,16678,13.5,364,0.59,237,0.26,289,1.39,253,33.63,55,15.73,84
2月5日,269,3.36,0.28,0.11,10117,1.15,19665,13.05,396,0.69,255,0.57,314,1.38,274,37.72,60,17.75,95
2月6日,281,3.72,0.28,0.22,11618,1.65,22112,13.79,421,0.62,284,0.56,334,1.53,297,37.6,69,21.53,105
2月7日,292,3.96,0.27,0.14,13603,1.47,24953,9.85,438,0.58,298,0.7,351,1.41,315,40.62,72,22.1,113
2月8日,295,4.87,0.28,0.53,14982,1.59,27100,10.96,448,0.49,304,0.9,364,1.12,326,40.53,75,23.09,118
2月9日,302,5.49,0.29,0.12,16902,1.44,29631,8.03,464,0.66,313,0.94,368,2.13,337,46.55,77,22.37,125
2月10日,,4.55,0.17,0.15,18454,1.6,31728,10.37,474,0.58,317,0.57,375,2.46,342,47.58,80,19.5,132
