Date,sh_acc_p1d,sh-internal_traffic,cq,wz,bj,xy,hf,hz,nb,bb,fy,tz,sr,bz,nj,sq,sz,aq,xz,zk,la,ha,wx,ly,lyg,jx,cq_num,bj_num,wz_num,xy_num,hf_num,hz_num,nb_num,bb_num,fy_num,tz_num,sr_num,bz_num,nj_num,sq_num,sz_num,aq_num,xz_num,zk_num,la_num,ha_num,wx_num,ly_num,lyg_num,jx_num,sh_add,wh_num,wh
20200120,0.0,5.2413,0.87,1.18,3.35,0.27,1.27,5.23,3.42,0.32,0.74,1.15,0.32,0.3,2.83,0.18,21.76,0.3,0.7,0.25,0.64,0.52,3.75,0.39,0.34,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1,0.71
20200121,0.0,4.7124,0.97,1.05,3.23,0.31,1.29,5.18,3.4,0.41,0.81,1.13,0.32,0.36,2.58,0.22,20.07,0.3,0.69,0.27,0.65,0.59,3.56,0.46,0.39,5.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,0.68
20200122,0.0,3.9841,1.13,0.89,3.36,0.36,1.48,5.04,3.07,0.42,0.84,0.88,0.33,0.36,2.77,0.22,18.76,0.34,0.69,0.22,0.63,0.67,3.26,0.39,0.42,4.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.1,0.77
20200123,0.0,3.2991,1.25,0.75,3.48,0.41,1.63,4.86,2.64,0.48,1.1,0.69,0.31,0.51,2.84,0.29,16.65,0.36,0.73,0.27,0.69,0.62,3.11,0.36,0.37,4.15,9.0,22.0,6.0,1.0,5.0,6.0,5.0,1.0,1.0,6.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,17.0,495.0,0.94
20200124,0.0,2.4791,1.42,0.61,3.43,0.28,1.38,4.6,2.49,0.48,0.87,0.55,0.29,0.32,2.97,0.28,16.91,0.33,0.79,0.28,0.45,0.51,3.22,0.33,0.38,4.33,57.0,36.0,6.0,1.0,6.0,6.0,5.0,1.0,2.0,18.0,2.0,1.0,3.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,3.0,7.0,495.0,0.72
20200125,53.0,1.7764,1.16,0.55,2.24,0.45,1.26,4.49,2.71,0.59,0.56,0.75,0.31,0.26,2.45,0.22,17.53,0.3,0.64,0.21,0.44,0.45,3.62,0.23,0.34,5.07,48.0,42.0,1.0,5.0,1.0,12.0,6.0,1.0,7.0,2.0,6.0,4.0,4.0,0.0,3.0,4.0,0.0,4.0,2.0,1.0,1.0,7.0,1.0,4.0,13.0,572.0,0.33
20200126,66.0,1.6174,0.96,0.82,1.17,1.86,1.46,4.46,3.4,0.69,0.77,1.01,0.59,0.35,1.71,0.22,13.72,0.87,0.64,0.35,0.84,0.59,3.92,0.41,0.43,4.03,110.0,68.0,18.0,22.0,13.0,27.0,13.0,3.0,10.0,21.0,6.0,6.0,7.0,6.0,8.0,8.0,3.0,5.0,3.0,1.0,2.0,7.0,3.0,8.0,13.0,618.0,0.1
20200127,80.0,1.6,0.89,1.03,0.87,1.32,1.76,2.75,2.4,1.03,1.86,1.03,0.87,0.97,1.34,0.71,8.52,1.31,1.41,0.98,1.37,1.08,2.8,0.99,0.72,2.47,132.0,80.0,60.0,29.0,16.0,32.0,17.0,3.0,21.0,22.0,7.0,8.0,10.0,7.0,12.0,8.0,8.0,15.0,4.0,2.0,6.0,8.0,3.0,11.0,14.0,1590.0,0.1
20200128,101.0,1.5664,0.97,1.12,0.57,1.52,2.14,1.68,1.62,1.51,2.76,0.75,0.75,1.58,1.07,0.91,5.81,1.52,1.76,0.88,2.17,1.5,1.78,1.16,0.98,1.61,147.0,91.0,114.0,32.0,29.0,51.0,20.0,3.0,23.0,40.0,9.0,15.0,14.0,14.0,20.0,14.0,8.0,19.0,6.0,3.0,9.0,15.0,3.0,14.0,21.0,1905.0,0.1
20200129,128.0,1.5537,1.36,1.11,0.54,1.43,2.22,1.3,1.4,1.73,2.94,0.7,0.77,1.68,1.07,1.03,5.59,1.53,1.55,0.95,2.34,1.64,1.7,1.34,0.79,1.51,165.0,114.0,172.0,42.0,39.0,69.0,41.0,8.0,28.0,64.0,11.0,20.0,19.0,18.0,24.0,18.0,15.0,25.0,8.0,7.0,10.0,16.0,6.0,16.0,27.0,1905.0,0.1
